  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   2   1.51055         2     2    1.63098         2       2524.87         42.4869  40.7062    49.48       42        2     12.8       29       42  19.406  18.172        0.025   -1.09098            0.036        0.04   -0.970548      0.54   18.563  18.866        0.043   501462        0       -8.13369            0            0      10.5055          0            258.98
   3   1.51055         0     2    1.63098         1       -397.01         43.0389  40.6807    43.37       42        2     20          2       43  99.999  16.616        0.022   79.502              0.076        0.02   79.6225       81.133  17.81   18.866        9.999   501474        9.999    4.99879e+22        0            0      10.5055          0            268.91
   2   1.51069         1     2    1.63108         2       2423.99         42.5106  40.9242    41.81       43        2     38.3       30       42  19.595  17.957        0.03    -0.903082           0.028        0.031  -0.782687      0.728  18.388  18.867        0.063   500380        0       -6.86887            0            0      10.5065          0           -594.41
  20   1.51069         2    11    1.63108        18        729.64         42.8209  40.4686    52.46       41        2     15.1       49       42  19.914  17.591        0.013   -0.584082           0.015        0.011  -0.463687      1.047  18.224  18.867        0.05      6884        0.016   -4.62946            0.018        0.018  10.5065          0.006       1126.52
   2   1.51083         2     2    1.63119         2       2767.3          42.4442  40.8526    24.63       43        2     39.2       26       42  19.513  18.075        0.029   -0.986185           0.037        0.032  -0.865827      0.645  18.489  18.868        0.055   500833        0       -7.38709            0            0      10.5075          0           -305.39
   2   1.51083         2     2    1.63119         2       1678.24         42.6505  40.8683    28.39       43        2      1.8       39       42  19.356  18.106        0.03    -1.14319            0.036        0.032  -1.02283       0.488  18.478  18.868        0.037   500691        0       -8.552              0            0      10.5075          0           -397.54
   2   1.51125         1     2    1.63149         2       2849.7          42.4238  40.6346    32.31       42        2     25.8       25       42  19.676  17.978        0.026   -0.826493           0.032        0.033  -0.706247      0.805  18.474  18.871        0.065   501701        0       -6.40974            0            0      10.5105          0            548.26
   3   1.51125         1     3    1.63149         2       -614.07         43.0718  40.34      21.59       41        2     18.6        4       43  20.058  17.252        0.025   -0.444493           0.04         0.023  -0.324247      1.187  18.016  18.871        0.091   502732        0       -3.41557            0            0      10.5105          0           1579.22
   2   1.51139         2     2    1.63159         2       2040.38         42.5707  40.3756    30.14       41        2     14.3       34       42  19.503  18.006        0.037   -1.00059            0.04         0.042  -0.880388      0.631  18.483  18.872        0.044   502683        0       -7.48507            0            0      10.5115          0           1532.48
  17   1.51139         1     9    1.63159        17       1230.78         42.7216  40.2916     9.99       41        2     17.9       43       42  20.388  17.098        0.014   -0.115595           0.016        0.012   0.00461246    1.516  17.952  18.872        0.096    10783        0        0.102415           0.003        0.011  10.5115          0.007       1831.11
   2   1.51139         1     2    1.63159         2       1956.12         42.5982  40.8807    31.38       43        2     53.5       35       42  19.676  17.817        0.027   -0.827595           0.03         0.025  -0.707388      0.804  18.34   18.872        0.062   500632        0       -6.41722            0            0      10.5115          0           -438.16
  17   1.51153         1    10    1.6317         17       1322.08         42.7041  40.2819     7.66       41        2     14.8       42       42  20.398  16.489        0.014   -0.106696           0.016        0.011   0.013472      1.525  17.764  18.873        0.1      10981        0        0.21442            0.005        0.016  10.5125          0.022       1872.02
   2   1.51153         1     2    1.6317          2       -219.7          42.9983  40.3829    31.9        41        2     53.9       59       42  19.753  17.855        0.029   -0.751696           0.031        0.029  -0.631528      0.88   18.348  18.873        0.07    502577        0       -5.92834            0            0      10.5125          0           1426.59
   4   1.51181         3     4    1.6319          4        986            42.7631  40.1093    26.23       40        2     47.1       45       42  19.435  18.164        0.022   -1.0719             0.024        0.022  -0.951809      0.56   18.574  18.875        0.038   503845        0.034   -7.99306            0.067        0.028  10.5145          0.043       2530.84
